Brand,price_per_km,availability_status,Range,efficiency,weight,speed,Fast_charge,distance,cargo_vol,Battery,german_price,netherland_price,uk_price,towing,driver_type,No.of_Seats,Heat_Pump,Towbar,Rating,Bidirectional,Load,Home,Grid
MG,103,Available,360,171,1726,7.9,115,405,363,61.7,39990,37570,29745,500,Rear Wheel,5,1,1,5.0,1,1,1,1
Volvo,120,Available,610,184,2405,3.9,250,742,575,112.0,71990,72995,64860,2400,All Wheel,5,1,1,5.0,1,1,1,1
BMW,114,Available,610,178,2360,4.9,230,742,578,108.7,70900,70501,58755,2000,All Wheel,5,1,1,5.0,1,1,1,1
BMW,225,Discontinued,360,197,2440,6.1,102,388,500,71.0,77300,84998,69905,2500,All Wheel,5,1,1,5.0,0,1,1,1
Fiat,128,Available,235,159,1365,9.0,67,261,185,37.3,34990,27999,23995,0,Front Wheel,4,0,0,4.0,0,1,1,1
CUPRA,110,Discontinued,350,166,1811,7.3,82,375,385,58.0,39370,36939,34125,0,Rear Wheel,5,1,0,5.0,0,1,1,1
Tesla,122,Discontinued,455,165,2072,4.8,124,535,971,75.0,52990,53990,51990,1600,All Wheel,5,1,1,5.0,0,1,1,1
Mercedes,92,Available,585,145,2055,6.7,235,763,506,85.0,55859,53554,45615,1500,Rear Wheel,5,1,1,5.0,1,1,1,1
Tesla,126,Discontinued,445,169,2054,5.0,124,524,971,75.0,55970,52990,51990,1600,All Wheel,7,1,1,5.0,0,1,1,1
CUPRA,103,Discontinued,450,171,1946,7.0,115,488,385,77.0,46450,46989,39625,0,Rear Wheel,4,1,0,5.0,1,1,1,1
Tesla,146,Discontinued,430,174,2072,4.0,124,506,971,75.0,60970,58990,59990,1600,All Wheel,5,1,1,5.0,0,1,1,1
Tesla,89,Available,445,135,1847,6.2,110,523,682,60.0,37970,36990,37990,1000,Rear Wheel,5,1,1,5.0,0,1,1,1
BYD,135,Available,245,184,1645,7.9,51,235,400,45.1,31990,31690,30850,750,Front Wheel,5,1,1,5.0,1,1,1,1
Tesla,128,Discontinued,375,160,2003,5.9,110,438,971,60.0,45970,45990,44990,1600,Rear Wheel,5,1,1,5.0,0,1,1,1
Kia,91,Available,455,171,1885,7.7,105,472,485,78.0,41390,41495,35995,1000,Front Wheel,5,1,1,5.0,1,1,1,1
BYD,140,Available,440,208,2510,4.5,165,502,578,91.3,58990,58190,58990,1500,All Wheel,5,1,1,5.0,1,1,1,1
Tesla,83,Available,580,136,1822,5.2,120,688,682,79.0,45970,45990,44990,1000,Rear Wheel,5,1,1,5.0,0,1,1,1
Tesla,97,Available,490,157,1953,7.2,130,574,952,77.0,47970,46990,49825,1600,Rear Wheel,5,1,1,5.0,0,1,1,1
Mercedes,142,Available,500,188,2535,4.3,190,606,698,94.0,71281,72631,60350,2400,All Wheel,5,1,1,5.0,1,1,1,1
